기준_년분기_코드,행정동코드,통합_카테고리,sales_sum,sales_mean,sales_count,store_count,pop_sum,pop_mean,pop_count,행정동명
20251,11110615,분식/간식,9341044794,4670522397.0,2,245,13650465,13650465.0,1,종로1?2?3?4가동
20251,11110615,뷰티/화장품,1575899646,525299882.0,3,152,13650465,13650465.0,1,종로1?2?3?4가동
20251,11110615,생활용품 소매,254330642187,42388440364.5,6,687,13650465,13650465.0,1,종로1?2?3?4가동
20251,11110615,수리/세탁,99906328,49953164.0,2,254,13650465,13650465.0,1,종로1?2?3?4가동
20251,11110615,숙박,2790585936,2790585936.0,1,179,13650465,13650465.0,1,종로1?2?3?4가동
20251,11110615,스포츠 강습,1182483688,1182483688.0,1,0,13650465,13650465.0,1,종로1?2?3?4가동
20251,11110615,스포츠/레저,1946481581,973240790.5,2,75,13650465,13650465.0,1,종로1?2?3?4가동
20251,11110615,식품 소매,21211767871,3535294645.1666665,6,98,13650465,13650465.0,1,종로1?2?3?4가동
20251,11110615,양식/기타외식,9105969823,9105969823.0,1,128,13650465,13650465.0,1,종로1?2?3?4가동
20251,11110615,예술학원,261878964,261878964.0,1,226,13650465,13650465.0,1,종로1?2?3?4가동
20251,11110615,오락/유흥,2217946736,739315578.6666666,3,81,13650465,13650465.0,1,종로1?2?3?4가동
20251,11110615,의료/약국,52160651916,8693441986.0,6,133,13650465,13650465.0,1,종로1?2?3?4가동
20251,11110615,의류/패션,7854174609,1963543652.25,4,1161,13650465,13650465.0,1,종로1?2?3?4가동
20251,11110615,일반학원,2573442568,1286721284.0,2,134,13650465,13650465.0,1,종로1?2?3?4가동
20251,11110615,일식,8652384547,8652384547.0,1,112,13650465,13650465.0,1,종로1?2?3?4가동
20251,11110615,전자/통신,4179430227,1393143409.0,3,64,13650465,13650465.0,1,종로1?2?3?4가동
20251,11110615,주점,29462883070,29462883070.0,1,378,13650465,13650465.0,1,종로1?2?3?4가동
20251,11110615,중식,8274915258,8274915258.0,1,102,13650465,13650465.0,1,종로1?2?3?4가동
20251,11110615,카페,20926268155,20926268155.0,1,0,13650465,13650465.0,1,종로1?2?3?4가동
20251,11110615,패스트푸드/치킨,4663917518,2331958759.0,2,0,13650465,13650465.0,1,종로1?2?3?4가동
20251,11110615,편의점,10114049170,10114049170.0,1,212,13650465,13650465.0,1,종로1?2?3?4가동
20251,11110615,한식,101302444710,101302444710.0,1,984,13650465,13650465.0,1,종로1?2?3?4가동
20251,11110630,B2B 서비스,163227061,163227061.0,1,321,4952892,4952892.0,1,종로5?6가동
20251,11110630,미용실,170551193,170551193.0,1,31,4952892,4952892.0,1,종로5?6가동
20251,11110630,분식/간식,1872856638,936428319.0,2,72,4952892,4952892.0,1,종로5?6가동
20251,11110630,뷰티/화장품,178647357,89323678.5,2,61,4952892,4952892.0,1,종로5?6가동
